Provincia,Partido,Votos
Lleida,JxC,77695
Lleida,ERC,63852
Lleida,C's,40608
Lleida,PSC,21618
Lleida,CUP,12052
Lleida,PP,10839
Lleida,CEC,9318
Lleida,PACMA,1177
Lleida,PU M+J,333
Lleida,REC-CERO,308
Lleida,DIALEG,0
Girona,JxC,148794
Girona,ERC,88012
Girona,C's,79181
Girona,PSC,34969
Girona,CUP,21551
Girona,CEC,16349
Girona,PP,11476
Girona,PACMA,2562
Girona,REC-CERO,545
Girona,PU M+J,240
Girona,DIALEG,0
Barcelona,C's,862300
Barcelona,ERC,673285
Barcelona,JxC,618653
Barcelona,PSC,494693
Barcelona,CEC,274565
Barcelona,CUP,142195
Barcelona,PP,141803
Barcelona,PACMA,31157
Barcelona,REC-CERO,8479
Barcelona,DIALEG,0
Tarragona,C's,120010
Tarragona,ERC,104258
Tarragona,JxC,95460
Tarragona,PSC,51689
Tarragona,CEC,23463
Tarragona,PP,19990
Tarragona,CUP,17554
Tarragona,PACMA,3624
Tarragona,REC-CERO,782
Tarragona,DIALEG,0